,source,location,text,detective,category,label
585,Facebook posts,"stated on March 12, 2020 in a Facebook post:",“‘The Simpsons' predicted Tom Hanks getting coronavirus in 2007.”,"By Tom Kertscher • March 16, 2020",false,3
586,Bloggers,"stated on March 12, 2020 in a story:",Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”,"By Samantha Putterman • March 16, 2020",false,3
587,Viral image,"stated on March 13, 2020 in a viral image:",Drinking “water a lot and gargling with warm water & salt or vinegar eliminates” the coronavirus.,"By Tom Kertscher • March 16, 2020",false,3
588,Joe Biden,"stated on March 3, 2020 in a tweeted video:",Video shows President Donald Trump saying COVID-19 is Democrats’ “new hoax.”,"By Daniel Funke • March 15, 2020",false,3
589,Donald Trump,"stated on March 12, 2020 in a tweet:","Says Joe Biden “was in charge of the H1N1 Swine Flu epidemic which killed thousands of people. The response was one of the worst on record. Our response is one of the best, with fast action of border closings & a 78% Approval Rating, the highest on record. His was lowest!""","By Miriam Valverde • March 15, 2020",barely-true,2
590,Michael Dougherty,"stated on March 12, 2020 in a tweet:","“Some states are only getting 50 tests per day, and the Utah Jazz got 58.”","By Bill McCarthy • March 13, 2020",true,0
591,Viral image,"stated on March 9, 2020 in a chart:","Says 80% of novel coronavirus cases are ""mild.""","By Paul Specht • March 13, 2020",mostly-true,1
592,Donald Trump,"stated on March 12, 2020 in a tweet:","“During the 2009 swine flu outbreak, Biden made reckless comments unsupported by science & the experts. The Obama Admin had to clean up his mess & apologize for his ineptitude.”","By Samantha Putterman • March 13, 2020",mostly-true,1
593,Viral image,"stated on March 10, 2020 in a Facebook post:",Says you can monitor yourself for COVID-19 with a breath test.,"By Ciara O'Rourke • March 13, 2020",false,3
594,Facebook posts,"stated on March 7, 2020 in a Facebook post:","“U.S. hospitals are preparing for 96 million coronavirus infections and nearly half a million deaths, leaked documents reveal.”","By Tom Kertscher • March 13, 2020",false,3
595,Ainsley Earhardt,"stated on March 13, 2020 in the Fox & Friends show:",“It’s actually the safest time to fly.”,"By Daniel Funke • March 13, 2020",false,3
596,Viral image,"stated on March 12, 2020 in a Facebook post:","Says if you donate blood, “they HAVE to test you” for coronavirus.","By Ciara O'Rourke • March 13, 2020",false,3
597,Viral image,"stated on February 27, 2020 in a Facebook post:","""Akira’ is a 1988 movie about an apocalyptic event taking place months before Tokyo 2020 Olympics, showing the (World Health Organization) advising Japan to postpone the Olympics because of a pandemic risk""","By Madison Czopek • March 13, 2020",false,3
598,Nancy Pelosi,"stated on March 12, 2020 in a press conference:","Of the Trump administration’s European travel restrictions that exempt the U.K.: “Well, you can just get into the Chunnel, and you’ll be in the U.K.”","By Miriam Valverde • March 12, 2020",half-true,1
599,Joy Behar,"stated on March 9, 2020 in an episode of ABC's ""The View"":","“(Barack Obama) set up anti-pandemic programs in 47 vulnerable countries as a way to protect against something like the coronavirus, exactly. Do you know that Trump closed 37 of them?”","By Bill McCarthy • March 12, 2020",false,3
600,Viral image,"stated on March 12, 2020 in a Facebook post:",Says Tom Hanks has a volleyball to keep him company while he’s quarantined.,"By Ciara O'Rourke • March 12, 2020",false,3
601,Donald Trump,"stated on March 11, 2020 in a White House speech:",The health insurance industry has “agreed to waive all co-payments for coronavirus treatments.”,"By Shefali Luthra • March 12, 2020",false,3
602,Bloggers,"stated on March 11, 2020 in a blog post:",“NYC man drops dead in middle of street — suspected coronavirus!”,"By Ciara O'Rourke • March 12, 2020",false,3
603,Bloggers,"stated on March 10, 2020 in a blog post:",“Whole of Italy goes into quarantine.”,"By Ciara O'Rourke • March 11, 2020",true,0
604,Viral image,"stated on March 10, 2020 in a Facebook post:",Says Harvard scientists say the coronavirus is “spreading so fast that it will infect 70% of humanity this year.”,"By Ciara O'Rourke • March 11, 2020",half-true,1
605,Donald Trump,"stated on March 6, 2020 in remarks to reporters:",“Anybody that wants a test (for the coronavirus) can get a test.”,"By Miriam Valverde • March 11, 2020",pants-fire,3
606,Facebook posts,"stated on March 6, 2020 in an image:","If the coronavirus gets in your mouth, ""drinking water or other liquids will WASH them down through your esophagus and into the stomach. Once there in tummy ... your stomach ACID will kill all the virus.""","By Daniel Funke • March 11, 2020",false,3
607,Facebook posts,"stated on March 9, 2020 in an image:","""Being exposed to the sun for two hours"" kills the 2019 coronavirus.","By Daniel Funke • March 11, 2020",false,3
608,Tweets,"stated on March 10, 2020 in in a tweet:",Says Daniel Radcliffe has the coronavirus.,"By Samantha Putterman • March 11, 2020",pants-fire,3
609,Gae Magnafici,"stated on March 7, 2020 in a tweet:",“More people have died from knowing Hillary” than coronavirus.,"By Eric Litke • March 11, 2020",pants-fire,3
610,Facebook posts,"stated on February 28, 2020 in posts on social media:",“Every election year has a disease” ... SARS in 2004; avian flu in 2008; swine flu in 2010; MERS in 2012; Ebola in 2014 and 2018; Zika in 2016 and the coronavirus in 2020.,"By Emily Venezky • March 11, 2020",false,3
611,Dr. Drew Pinsky,"stated on February 3, 2020 in a Daily Blast Live segment:",“You’re more likely to die of influenza right now” than the 2019 coronavirus.,"By Daniel Funke • March 10, 2020",half-true,1
612,Bloggers,"stated on March 6, 2020 in a story:",Says Nancy Pelosi delayed coronavirus funding so “Dems could campaign on it.”,"By Samantha Putterman • March 10, 2020",barely-true,2
613,Facebook posts,"stated on March 9, 2020 in a Facebook post:",“President Trump has come into contact with a potential coronavirus sufferer!”,"By Tom Kertscher • March 10, 2020",barely-true,2
614,YouTube videos,"stated on February 19, 2020 in a YouTube post:",“The coronavirus was invented and patented in the USA and then planted in China.”,"By Tom Kertscher • March 10, 2020",false,3
615,Facebook posts,"stated on February 22, 2020 in a Facebook post:",“People Of Color May Be Immune To The Coronavirus Because Of Melanin.”,"By Tom Kertscher • March 10, 2020",false,3
616,Facebook posts,"stated on March 1, 2020 in a Facebook post:",The coronavirus is “simply the common cold.”,"By Tom Kertscher • March 9, 2020",false,3
617,Facebook posts,"stated on March 2, 2020 in a Facebook post:",“Coronavirus Hoax: Fake Virus Pandemic Fabricated to Cover-Up Global Outbreak of 5G Syndrome.”,"By Tom Kertscher • March 9, 2020",false,3
618,Mike Pence,"stated on March 4, 2020 in in a press briefing:","“With regard to the cost, let me be very clear: HHS has designated the coronavirus test as an essential health benefit. That means, by definition, it's covered in the private health insurance of every American, as well as covered by Medicare and Medicaid.""","By Julie Appleby • March 6, 2020",half-true,1
619,Viral image,"stated on March 5, 2020 in a Facebook post:","Says Donald Trump tweeted, “Corona vaccine from Israel! Stock market up! Economy even stronger now! Besides US, Israel best at inventions: Judaism, olives. Wonderful vaccine, will stop Corona DEAD around world. Can’t make vaccines when being bombed, not have been possible without peace I created in Israel!”","By Ciara O'Rourke • March 6, 2020",false,3
620,Donald Trump,"stated on March 4, 2020 in an interview:","The Obama administration ""didn't do anything about” swine flu.","By Tom Kertscher • March 6, 2020",false,3
621,Donald Trump,"stated on March 4, 2020 in a meeting at the White House:",“The Obama administration made a decision on testing that turned out to be very detrimental to what we’re doing” on the coronavirus.,"By Jon Greenberg • March 6, 2020",false,3
622,Facebook posts,"stated on March 4, 2020 in an image:","The media “pulled down an entire shelf of goods so that they can present the news of people buying stuff in a hysteria over the coronavirus.""","By Daniel Funke • March 6, 2020",pants-fire,3
623,Facebook posts,"stated on February 27, 2020 in a Facebook post:",Starting in March if you travel outside of the United States you won’t be allowed back in the country “due to high risk of the coronavirus.”,"By Samantha Putterman • March 6, 2020",false,3
624,Facebook posts,"stated on March 4, 2020 in a Facebook post:","“The State of Florida has announced measures that all workplaces with 10 employees or more are to have paid mandatory leave to avoid the spread of COVID-19 coronavirus starting on March 6, 2020. All schools are to close for 2 weeks also from March 6th.”","By Ciara O'Rourke • March 5, 2020",false,3
625,Bloggers,"stated on March 3, 2020 in a story:",Says the Vatican reports that Pope Francis tested negative for the coronavirus before a second test came back positive.,"By Samantha Putterman • March 5, 2020",false,3
626,Facebook posts,"stated on March 2, 2020 in a Facebook post:",Quotes Sen. Lindsey Graham as saying President Trump “probably knows more about medicine and specifically viruses than any of the so-called scientists at the NIH and CDC.”,"By Samantha Putterman • March 5, 2020",pants-fire,3
627,Lou Dobbs,"stated on March 2, 2020 in a TV interview:","The United States is “actually screening fewer people (for the coronavirus than other countries) because we don't have appropriate testing.""","By Bill McCarthy • March 4, 2020",mostly-true,1
628,Facebook posts,"stated on February 27, 2020 in a Facebook post:","“The blood test for coronavirus costs $3,200.”","By Ciara O'Rourke • March 4, 2020",barely-true,2
629,Facebook posts,"stated on March 4, 2020 in a post on Facebook:","“Man visited Albany, N.Y. days before dying from coronavirus.”","By Madison Czopek • March 4, 2020",false,3
630,Facebook posts,"stated on February 29, 2020 in a Facebook post:",Says President Barack Obama “waited six months to call swine flu an emergency after thousands died.”,"By Tom Kertscher • March 4, 2020",false,3
631,Viral image,"stated on March 2, 2020 in a Facebook post:","Says two patients at Valley Regional Medical Center in Brownsville, Texas, “are being looked at” for possible coronavirus infections.","By Ciara O'Rourke • March 3, 2020",false,3
632,Instagram posts,"stated on March 1, 2020 in an Instagram post:",Says no one has died from the coronavirus in the United States.,"By Ciara O'Rourke • March 3, 2020",false,3
633,YouTube videos,"stated on February 24, 2020 in a Facebook post:",Says President Donald Trump spawned the “Wuhan super virus outbreak under code name ‘zyphr.’”,"By Samantha Putterman • March 3, 2020",pants-fire,3
634,Viral image,"stated on March 1, 2020 in a Facebook post:",“Shands Hospital of Gainesville Florida has confirmed its first case of coronavirus.”,"By Ciara O'Rourke • March 3, 2020",false,3
635,Facebook posts,"stated on February 28, 2020 in a Facebook post:",“The coronavirus has made it to Mississippi and the lady that caught it wasn’t around nobody with it which means it is airborne. That means if the wind blows it your direction you’ll have it also.”,"By Ciara O'Rourke • March 3, 2020",false,3
636,Viral image,"stated on March 1, 2020 in a Facebook post:",Says a photo shows a man wearing a “government issue Saint Laurent hazardous materials suit.”,"By Ciara O'Rourke • March 3, 2020",false,3
637,Facebook posts,"stated on January 27, 2020 in a Facebook post:",“In ‘Resident Evil’ the Umbrella Corporation releases a virus that infects the people of Raccoon City. A biological research lab with the exact same logo as the Umbrella Corporation can be found in the city where the coronavirus outbreak originated.”,"By Bill McCarthy • March 3, 2020",false,3
638,Facebook posts,"stated on March 2, 2020 in an image:","""Sanitizer will do nothing for the coronavirus.""","By Daniel Funke • March 3, 2020",false,3
639,Facebook posts,"stated on February 27, 2020 in a Facebook post:","”America has been vaccinating cattle for coronavirus for years, yet the news tells you it’s new and gunna kill you all so go buy mask.”","By Tom Kertscher • March 2, 2020",false,3
640,YouTube videos,"stated on February 29, 2020 in a YouTube video:",Says the Vatican confirmed that Pope Francis and two aides tested positive for coronavirus.,"By Samantha Putterman • March 2, 2020",pants-fire,3
641,YourContent,"stated on March 1, 2020 in an article:",“Florida hospital reports a coronavirus ‘infestation’ with multiple confirmed patients.”,"By Daniel Funke • March 2, 2020",false,3
642,Facebook posts,"stated on February 28, 2020 in a Facebook post:","""Poll Finds 38% of Americans Say They Will Not Drink Corona Beer Because of Virus.""","By Tom Kertscher • March 2, 2020",false,3
643,Chad Wolf,"stated on February 25, 2020 in an exchange during a Senate appropriations subcommittee hearing:",The mortality rate for the flu is “right around” that of the new coronavirus: “It’s right around 2%.”,"By Victoria Knight • March 2, 2020",false,3
644,Bloggers,"stated on February 26, 2020 in an Internet post:",“Hair weave and lace fronts manufactured in China may contain the coronavirus.”,"By Daniel Funke • February 29, 2020",pants-fire,3
645,Facebook posts,"stated on January 27, 2020 in a Facebook post:",Says the coronavirus can be slowed or stopped with the “immediate widespread use of high doses of vitamin C.”,"By Samantha Putterman • February 29, 2020",false,3
646,Charlie Kirk,"stated on February 24, 2020 in a tweet:",“Three Chinese nationals were apprehended trying to cross our Southern border illegally. Each had flu-like symptoms. Border Patrol quickly quarantined them and assessed any threat of coronavirus.”,"By Madlin Mekelburg • February 28, 2020",mostly-true,1
647,Facebook posts,"stated on February 26, 2020 in a satirical website screenshot:",“Corona virus: Florida man arrested for robbery using cough as a weapon.”,"By Emily Venezky • February 28, 2020",pants-fire,3
648,Michael Bloomberg,"stated on February 26, 2020 in a CNN town hall:","Says of President Donald Trump’s actions on the coronavirus: “No. 1, he fired the pandemic team two years ago. No. 2, he's been defunding the Centers for Disease Control.”","By Louis Jacobson • February 28, 2020",half-true,1
649,Facebook posts,"stated on February 26, 2020 in online posts:",Says the CDC recommends men shave their beards to protect against coronavirus.,"By Samantha Putterman • February 27, 2020",false,3
650,Rush Limbaugh,"stated on February 24, 2020 in an episode of his radio show:","“The coronavirus is the common cold, folks.”","By Bill McCarthy • February 27, 2020",false,3
651,Facebook posts,"stated on November 15, 2019 in a Facebook post:",“If you have the Flu… get these two items… Sambucol (and) Oscillococcinum… in 48 hours you will feel better. In 72 hours you will be almost symptom-free.”,"By Emily Venezky • February 27, 2020",barely-true,2
652,Viral image,"stated on February 20, 2020 in a Facebook post:",Says “The Simpsons” predicted the coronavirus.,"By Ciara O'Rourke • February 27, 2020",pants-fire,3
653,Facebook posts,"stated on February 15, 2020 in an image:","High levels of sulfur dioxide in Wuhan “may be a sign of mass cremations of victims of the coronavirus.""","By Daniel Funke • February 26, 2020",pants-fire,3
654,Facebook posts,"stated on February 25, 2020 in a video:","Coronavirus patients are being ""cremated alive"" in China.","By Daniel Funke • February 26, 2020",false,3
655,Viral image,"stated on February 19, 2020 in a Facebook post:",Says the 2008 book “End of Days” predicted the current coronavirus outbreak.,"By Ciara O'Rourke • February 26, 2020",false,3
656,Viral image,"stated on February 18, 2020 in a YouTube post:",Says 20 million Chinese converted to Islam after it’s proven that the coronavirus doesn’t affect Muslims.,"By Ciara O'Rourke • February 25, 2020",pants-fire,3
657,Facebook posts,"stated on February 11, 2020 in a Facebook post:",“Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases — Wuhan Super Virus Updates.”,"By Tom Kertscher • February 25, 2020",false,3
658,Instagram posts,"stated on February 3, 2020 in a photo:","Scientists ""are shocked to discover that weed kills corona virus”","By Emily Venezky • February 17, 2020",pants-fire,3
659,Facebook posts,"stated on February 2, 2020 in a post:",“When using a medical mask you’re supposed to use… white side out (this is the filter part) for when you’re not sick.”,"By Emily Venezky • February 14, 2020",false,3
660,Facebook posts,"stated on February 8, 2020 in a video:","Says the 2019 coronavirus ""causes sudden death syndrome.""","By Daniel Funke • February 11, 2020",false,3
661,Hal Turner Radio Show,"stated on February 1, 2020 in an article:",Says the coronavirus is “a MILITARY BIO-WEAPON Developed by China's Army.”,"By Daniel Funke • February 11, 2020",false,3
662,Facebook posts,"stated on January 30, 2020 in a post:","“Cocaine kills corona virus, scientists is shocked to discover that this drug can fight the virus.”","By Emily Venezky • February 11, 2020",pants-fire,3
663,NaturalNews.com,"stated on February 3, 2020 in an article:","Says ""the coronavirus was engineered by scientists in a lab.""","By Daniel Funke • February 10, 2020",false,3
664,Viral image,"stated on January 31, 2020 in a Facebook post:",Says the coronavirus isn’t new because “Lysol has it listed as one of the viruses that it kills.”,"By Ciara O'Rourke • February 5, 2020",false,3
665,Facebook posts,"stated on January 27, 2020 in a post on Facebook:",Event 201 “gave out stuffed souvenir coronavirus toys” to “commemorate” Novel coronavirus outbreak,"By Emily Venezky • February 3, 2020",barely-true,2
666,Tweets,"stated on January 28, 2020 in a tweet:",Says drinking a bleach solution will prevent you from getting the coronavirus.,"By Samantha Putterman • January 30, 2020",pants-fire,3
667,Facebook posts,"stated on January 28, 2020 in a Facebook post:","Says a ""Clorox bottle claimed it could kill (the 2019 coronavirus)... before it was developed.""","By Daniel Funke • January 30, 2020",false,3
668,Bloggers,"stated on January 25, 2020 in an article:","Says the Chinese Communist Party ""will finally admit that the real source of the coronavirus is from ‘a lab in Wuhan’ linked to its covert biological weapon programs.""","By Daniel Funke • January 28, 2020",false,3
669,Facebook posts,"stated on January 24, 2020 in a website post:","""CORONAVIRUS: Reports of 10,000 DEAD in Wuhan, China.""","By Tom Kertscher • January 28, 2020",pants-fire,3
670,Bloggers,"stated on January 26, 2020 in an article:","Says China ""stole Coronavirus from Canada and weaponized it into a Bioweapon.""","By Daniel Funke • January 28, 2020",false,3
671,Facebook posts,"stated on January 22, 2020 in a Facebook post:","Says a coronavirus patent expired just as there is a ""sudden outbreak"" and, despite ""media fear-mongering,"" there is already a vaccine available.","By Tom Kertscher • January 23, 2020",pants-fire,3
